policy_id,category,dob,gender,smoker_status,sum_assured,sum_assured_type,policy_term,premium_payment_option,ppt,distribution_channel,single_premium,yearly_premium,scraped_date,source,notes
954,term_assurance,15/01/2008,male,non_smoker,5000000,level,10,regular,10,online,,3850,2026-08-11,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/2008,male,non_smoker,5000000,level,15,regular,15,online,,3850,2026-08-11,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/2008,male,non_smoker,5000000,level,20,regular,20,online,,3950,2026-08-11,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium);matches 2026-08-10 spot-check exactly
954,term_assurance,15/01/2008,male,non_smoker,5000000,level,25,regular,25,online,,4150,2026-08-11,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium);matches 2026-08-10 spot-check exactly
954,term_assurance,15/01/2008,male,non_smoker,5000000,level,30,regular,30,online,,4400,2026-08-11,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/2008,male,non_smoker,5000000,level,35,regular,35,online,,4800,2026-08-11,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/2008,male,non_smoker,5000000,level,40,regular,40,online,,5300,2026-08-11,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/2001,male,non_smoker,5000000,level,10,regular,10,online,,4000,2026-08-11,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/2001,male,non_smoker,5000000,level,15,regular,15,online,,4150,2026-08-11,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/2001,male,non_smoker,5000000,level,20,regular,20,online,,4400,2026-08-11,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/2001,male,non_smoker,5000000,level,25,regular,25,online,,4850,2026-08-11,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
954,term_assurance,15/01/2001,male,non_smoker,5000000,level,30,regular,30,online,,5500,2026-08-11,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
