policy_id,category,dob,gender,smoker_status,sum_assured,sum_assured_type,policy_term,premium_payment_option,ppt,distribution_channel,single_premium,yearly_premium,scraped_date,source,notes
875,term_assurance,15/01/2008,male,non_smoker,5000000,level,20,regular,20,offline,,4450,2026-08-08,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/2008,male,non_smoker,5000000,level,25,regular,25,offline,,4600,2026-08-08,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/2008,male,non_smoker,5000000,level,30,regular,30,offline,,4900,2026-08-08,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/2008,male,non_smoker,5000000,level,35,regular,35,offline,,5300,2026-08-08,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/2008,male,non_smoker,5000000,level,40,regular,40,offline,,5850,2026-08-08,LIC live online quote calculator,age 18 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/2001,male,non_smoker,5000000,level,15,regular,15,offline,,4700,2026-08-08,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/2001,male,non_smoker,5000000,level,20,regular,20,offline,,4950,2026-08-08,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/2001,male,non_smoker,5000000,level,25,regular,25,offline,,5400,2026-08-08,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/2001,male,non_smoker,5000000,level,30,regular,30,offline,,6100,2026-08-08,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/2001,male,non_smoker,5000000,level,35,regular,35,offline,,6950,2026-08-08,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/2001,male,non_smoker,5000000,level,40,regular,40,offline,,7850,2026-08-08,LIC live online quote calculator,age 25 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/1996,male,non_smoker,5000000,level,15,regular,15,offline,,5350,2026-08-08,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/1996,male,non_smoker,5000000,level,20,regular,20,offline,,5950,2026-08-08,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/1996,male,non_smoker,5000000,level,25,regular,25,offline,,6850,2026-08-08,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/1996,male,non_smoker,5000000,level,30,regular,30,offline,,8000,2026-08-08,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/1996,male,non_smoker,5000000,level,35,regular,35,offline,,9200,2026-08-08,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/1996,male,non_smoker,5000000,level,40,regular,40,offline,,10450,2026-08-08,LIC live online quote calculator,age 30 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/1991,male,non_smoker,5000000,level,15,regular,15,offline,,6800,2026-08-08,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/1991,male,non_smoker,5000000,level,20,regular,20,offline,,8000,2026-08-08,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/1991,male,non_smoker,5000000,level,25,regular,25,offline,,9500,2026-08-08,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/1991,male,non_smoker,5000000,level,30,regular,30,offline,,11100,2026-08-08,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/1991,male,non_smoker,5000000,level,35,regular,35,offline,,12750,2026-08-08,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/1991,male,non_smoker,5000000,level,40,regular,40,offline,,14600,2026-08-08,LIC live online quote calculator,age 35 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/1986,male,non_smoker,5000000,level,15,regular,15,offline,,9700,2026-08-08,LIC live online quote calculator,age 40 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/1986,male,non_smoker,5000000,level,20,regular,20,offline,,11700,2026-08-08,LIC live online quote calculator,age 40 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/1986,male,non_smoker,5000000,level,25,regular,25,offline,,13750,2026-08-08,LIC live online quote calculator,age 40 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/1986,male,non_smoker,5000000,level,30,regular,30,offline,,15950,2026-08-08,LIC live online quote calculator,age 40 confirmed via dob;PPT assumed = PT (regular premium)
875,term_assurance,15/01/1986,male,non_smoker,5000000,level,35,regular,35,offline,,18350,2026-08-08,LIC live online quote calculator,age 40 confirmed via dob;PPT assumed = PT (regular premium)
