Policy Name,Plan Number,Policy Type,Entry Age Range,Maximum Maturity Age,Policy Term,PPT & Modes,Minimum Sum Assured,Maximum Sum Assured,Death Benefit,Survival Benefit,Maturity Benefit,Bonus / Guaranteed Additions,Surrender Value,Paid-up Rules,Revival Rules,Loan Options,Grace Period,Waiting Period,Exclusions,Tax Benefits,Available Riders,Key Advantages,Limitations,Sources
LIC Jeevan Umang,745,Par Whole-Life Income & Savings,30 days–55/50/45/40 yrs by PPT,100 yrs,(100 – entry age),PPT 15/20/25/30; Y/HY/Q/M,₹2,00,000,No limit,7×AP or BSA + Bonuses + FAB (≥105% premiums),8% BSA yearly after PPT,At 100 yrs: BSA + Bonuses + FAB,Bonuses + FAB,GSV + SSV,Paid-up allowed after 1 yr,Revival 5 yrs,Loan allowed,30/15 days,None,Suicide 12 months,80C/10(10D),ADB/AB/Term/PWB,Guaranteed income + whole-life maturity,No guaranteed additions,policy_doc_745; brochure_745
LIC Jeevan Utsav,771,Non-Par Whole-Life Guaranteed Income,30 days–65 yrs (varies by PPT),Whole life,PPT 5–16,Y/HY/Q/M,₹5,00,000,No limit,BSA or 7×AP + Guaranteed Additions,None,None,Guaranteed Additions,GSV + SSV,Paid-up allowed,Revival 5 yrs,Loan allowed,30/15 days,None,Suicide 12 months,80C/10(10D),ADB/AB/Term/PWB,Guaranteed income for life,No maturity sum assured,policy_doc_771; brochure_771
LIC Digi Term,876,Pure Online Term,18–45 yrs,75 yrs,10–40 yrs,Single/Reg/Limited 10/15; Y/HY,₹50L,₹5Cr+,SA on death based on option (Level/Increasing),None,None,None,URPV only for SP/Limited,No paid-up,Revival 5 yrs,No loan,30 days,None,Suicide 12 months,80C/10(10D),Accident Rider,Low cost online term,No surrender for regular-pay,policy_doc_876; brochure_876
LIC Digi Credit Life,878,Online Decreasing Term (Loan),18–45 yrs,75 yrs,5–30 yrs,Single/Limited 5/10/15; Y/HY,₹50L,₹5Cr+,Decreasing SA based on schedule,None,None,None,URPV only,No paid-up,Revival 5 yrs,No loan,30 days,None,Suicide 12 months,80C/10(10D),None,Low-cost loan cover,SA decreases; no paid-up,policy_doc_878; brochure_878
LIC Yuva Credit Life,877,Offline Decreasing Term (Loan),18–45 yrs,75 yrs,5–30 yrs,Single/Limited 5/10/15; Y/HY,₹20L,₹5Cr,Decreasing SA based on schedule,None,None,None,URPV only,No paid-up,Revival 5 yrs,No loan,30 days,None,Suicide 12 months,80C/10(10D),None,Youth-oriented loan cover,SA declines yearly; no maturity,policy_doc_877; brochure_877
LIC Yuva Term,875,Offline Term,18–45 yrs,75 yrs,15–40 yrs,Single/Reg/Limited 10/15; Y/HY,₹50L,₹5Cr+,Level or Increasing SA,None,None,None,URPV for SP/Limited only,No paid-up,Revival 5 yrs,No loan,30 days,None,Suicide 12 months,80C/10(10D),None,Increasing SA option,No maturity or surrender for regular,policy_doc_875; brochure_875
LIC New Tech-Term,954,Online Term,18–65 yrs,80 yrs,10–40 yrs,Single/Reg/Limited; Y/HY,₹50L,No limit,Level/Increasing SA,None,None,None,URPV for SP/Limited,No paid-up,Revival 5 yrs,No loan,30 days,None,Suicide 12 months,80C/10(10D),Accident Rider,Low online pricing,Strict underwriting,policy_doc_954; brochure_954
LIC New Jeevan Amar,955,Offline Term,18–65 yrs,80 yrs,10–40 yrs,Single/Reg/Limited; Y/HY,₹25L,No limit,Level/Increasing SA,None,None,None,URPV for SP/Limited,No paid-up,Revival 5 yrs,No loan,30 days,None,Suicide 12 months,80C/10(10D),Accident Rider,Same as Tech-Term but offline,No maturity; URPV only,policy_doc_955; brochure_955
LIC Saral Jeevan Bima,859,Standard Term (45-day wait),18–65 yrs,70 yrs,5–40 yrs,Single/Reg/Limited; Y/HY/M,₹5L,₹25L,"SA after 45-day wait; accident covered immediately",None,None,None,Cancellation Value only,No paid-up,Revival 5 yrs,No loan,30/15 days,45 days,Suicide 12 months,80C/10(10D),None,Low entry barriers,Waiting period + SA cap,policy_doc_859; brochure_859
LIC Bima Shree,748,Par High Net-Worth Savings,8–55 yrs,69 yrs,14/16/18/20/24/28 yrs,PPT = term–4; Y/HY/Q/M,₹10L,No limit,SA on death + GA + Loyalty Additions,"Term-based SB payouts","Maturity SA + GA + Loyalty Additions","GA + Loyalty Additions","GSV + SSV","Paid-up allowed","Revival 5 yrs","Loan allowed","30/15 days",None,Suicide 12 months,80C/10(10D),ADB/AB/Term/PWB,HNI-focused guaranteed payouts,High minimum SA,policy_doc_748; brochure_748
LIC New Money Back 20 Years,720,Par Money Back,13–50 yrs,70 yrs,20 yrs,PPT 15 yrs; Y/HY/Q/M,₹1L,No limit,"125% BSA or 7×AP + Bonus + FAB","20% × 3 times","40% BSA + Bonus + FAB","Bonus + FAB","GSV + SSV","Paid-up allowed","Revival 5 yrs","Loan allowed","30/15 days",None,Suicide 12 months,80C/10(10D),ADB/AB/Term,Periodic payouts,Bonus fluctuations,policy_doc_720; brochure_720
LIC New Money Back 25 Years,721,Par Money Back,13–45 yrs,70 yrs,25 yrs,PPT 20 yrs; Y/HY/Q/M,₹2L,No limit,"125% BSA or 7×AP + Bonus + FAB","15% × 4 times","40% BSA + Bonus + FAB","Bonus + FAB","GSV + SSV","Paid-up allowed","Revival 5 yrs","Loan allowed","30/15 days",None,Suicide 12 months,80C/10(10D),ADB/AB/Term,Long-term payouts,Bonus dependency,policy_doc_721; brochure_721
LIC New Children’s Money Back,732,Par Children’s Savings,0–12 yrs,25 yrs,25 – entry age,PPT = term; Y/HY/Q/M,₹2L,No limit,"125% BSA or 7×AP + Bonus + FAB","SB at ages 18/20/22","40% BSA + Bonus + FAB","Bonus + FAB","GSV + SSV","Paid-up allowed","Revival 5 yrs","Loan allowed","30/15 days","Risk delayed for <8 yrs",Suicide clause rules,80C/10(10D),PWB Rider,Education milestone payouts,Long lock-in,policy_doc_732; brochure_732
LIC Jeevan Tarun,734,Par Children’s Plan,30 days–12 yrs,25 yrs,25 – entry age,PPT = 20–entry; Y/HY/Q/M,₹2L,No limit,"125% BSA or 7×AP + Bonus + FAB","0/5/10/15% SB options","100/75/50/25% BSA + Bonus/FAB","Bonus + FAB","GSV + SSV","Paid-up allowed","Revival 5 yrs","Loan allowed","30/15 days","Risk later for minors",Suicide 12 months,80C/10(10D),PWB Rider,Flexible SB options,Long lock-in,policy_doc_734; brochure_734
